,compression,hilum_position,embryo,cavity,testal_walls,wings,elaiosomes,base_invaginated,angled,lobe_sinus,widest_veins,secondary_veins,secondary_veins_fork,fruit_type,calyx_inflated,venation_pattern,calyx_teeth
Alkekengi_officinarum,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0
Anisodus_tanguticus,0,1,?,0,1,0,0,0,0,0,1,1,1,5,1,1,0
Anthocercis_intricata,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Anthotroche_pannosa,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
Archiphysalis_chamaesarachoides,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0
Athenaea_brasiliana,0,0,0,?,0,0,0,0,0,1,0,0,0,0,0,1,0
Athenaea_cuspidata,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
Atropa_belladonna,0,1,2,0,1,0,0,0,0,1,1,1,0,0,0,1,0
Atropanthe_sinensis,1,0,2,0,0,0,0,0,0,1,1,1,1,5,1,1,0
Benthamiella_patagonica,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0
Bouchetia_anomala,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0
Brachistus_nelsonii,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
Browallia_americana,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0
Brugmansia_suaveolens,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Brunfelsia_australis,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Calibrachoa_humilis,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0
Calliphysalis_carpenteri,0,0,?,0,1,0,0,0,0,1,1,1,1,0,1,1,0
Capsicophysalis_potosina,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0
Capsicum_chacoense,0,0,2,1,1,0,0,0,0,2,1,1,0,0,0,1,1
Cestrum_bracteatum,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Chamaesaracha_arida,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Coeloneurum_ferrugineum,1,0,1,0,1,0,0,0,0,0,1,0,0,3,0,1,0
Combera_paradoxa,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
Crenidium_spinescens,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Cuatresia_harlingiana,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
Cyphanthera_anthocercidea,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Darcyanthus_spruceanus,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
Datura_ferox,0,0,2,1,1,0,1,0,0,1,1,0,0,1,0,0,0
Deprea_pauciflora,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0
Deprea_abra_patriciae,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0
Discopodium_penninervium,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Duboisia_myoporoides,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
Duckeodendron_cestroides,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0
Dunalia_brachyacantha,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
Dyssochroma_viridiflorum,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0
Eriolarynx_australis,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
Espadaea_amoena,1,0,1,0,0,0,0,0,0,1,1,0,0,3,0,1,0
Exodeconus_miersii,0,0,0,1,1,0,0,0,0,1,1,0,0,4,0,1,0
Fabiana_imbricata,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
Goetzea_elegans,1,1,1,0,1,0,0,0,0,1,1,0,0,3,0,1,0
Grammosolen_dixonii,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
Hawkesiophyton_panamense,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Heteranthia_decipiens,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
Hunzikeria_texana,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0
Hyoscyamus_niger,0,1,2,0,1,0,0,0,0,1,1,1,1,5,0,1,0
Iochroma_cyaneum,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
Jaborosa_laciniata,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0
Jaltomata_bicolor,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
Jaltomata_grandiflora,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
Juanulloa_mexicana,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0
Latua_pubiflora,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Leptoglossis_darcyana,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Leucophysalis_grandiflora,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,1,0
Lycianthes_rantonnetii,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,1,1
Lycianthes_acapulcensis,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,1,1
Lycium_americanum,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
Mandragora_officinarum,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0
Markea_coccinea,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0
Melananthus_guatemalensis,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
Mellissia_begoniifolia,0,0,?,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Merinthopodium_neuranthum,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
Metternichia_princeps,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0
Nectouxia_formosa,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0
Nicandra_physalodes,0,0,2,0,0,0,0,1,1,1,1,1,0,0,1,1,0
Nicotiana_wigandioides,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0
Nierembergia_linariifolia,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0
Nolana_divaricata,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0
Nothocestrum_latifolium,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0
Oryctes_nevadensis,0,0,2,1,0,1,0,0,0,1,1,1,0,4,0,1,0
Pantacantha_ameghinoi,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0
Petunia_interior,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0
Physaliastrum_heterophyllum,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0
Physalis_peruviana,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0
Physalis_angulata,0,0,2,0,1,0,0,1,1,1,1,1,1,0,1,1,0
Physochlaina_orientalis,0,1,2,1,1,0,0,0,0,1,1,1,1,5,1,1,0
Plowmania_nyctaginoides,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0
Protoschwenkia_mandonii,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0
Przewalskia_tangutica,0,1,0,1,1,0,0,0,0,1,1,1,1,5,1,1,0
Quincula_lobata,0,0,2,1,0,0,0,1,1,1,1,1,0,0,1,1,0
Reyesia_chilensis,1,0,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
Salpichroa_tristis,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0
Salpiglossis_sinuata,1,0,2,0,1,0,0,0,0,0,1,1,1,1,0,1,0
Saracha_quitensis,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
Schizanthus_grahamii,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0
Schraderanthus_viscosus,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
Schultesianthus_leucanthus,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Schwenckia_americana,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0
Sclerophylax_spinescens,1,0,1,1,1,0,0,0,0,1,1,0,0,2,0,1,0
Scopolia_carniolica,0,1,0,0,1,0,0,0,0,0,1,1,1,5,0,1,0
Sessea_stipulata,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0
Solandra_grandiflora,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
Solanum_annuum,0,1,2,1,1,0,0,0,0,1,1,0,0,0,1,1,0
Solanum_barbisetum,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Solanum_caripense,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0
Solanum_corymbosum,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Solanum_crinitum,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0
Solanum_crispum,0,0,2,?,?,0,0,0,0,1,0,0,0,0,0,1,0
Solanum_evolvulifolium,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Solanum_evolvuloides,0,0,2,1,?,1,0,0,0,1,0,0,0,0,0,1,0
Solanum_herculeum,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0
Solanum_hieronymi,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Solanum_jamaicense,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Solanum_laciniatum,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Solanum_mahoriense,0,0,2,1,?,0,0,1,0,1,0,1,0,0,1,1,0
Solanum_microdontum,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Solanum_montanum,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Solanum_oedipus,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Solanum_palustre,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Solanum_peruvianum,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Solanum_polygamum,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0
Solanum_salamancae,0,1,2,1,1,0,0,1,1,1,1,1,0,0,1,1,0
Solanum_sejunctum,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Solanum_sinuatirecurvum,0,1,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0
Solanum_sisymbriifolium,0,0,2,1,1,0,0,0,1,1,1,0,0,0,0,1,0
Solanum_terminale,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Solanum_thelopodium,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Solanum_torvum,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0
Solanum_trizygum,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0
Solanum_uncinellum,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0
Solanum_valdiviense,0,0,2,1,1,0,0,0,0,1,1,1,0,0,0,1,0
Solanum_weddellii,0,0,2,1,0,0,0,1,0,0,1,1,0,0,1,1,0
Solanum_pimpinellifolium,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0
Solanum_pinnatum,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Streptosolen_jamesonii,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0
Symonanthus_aromaticus,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
Trompettia_cardenasiana,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Trozelia_umbellata,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0
Tsoala_tubiflora,1,0,?,0,1,0,0,0,0,1,1,0,0,1,0,1,0
Tubocapsicum_anomalum,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0
Tzeltalia_amphitricha,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0
Vassobia_breviflora,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
Vestia_foetida,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
Withania_somnifera,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0
Witheringia_solanacea,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
