taxon	min_age	max_age
2003_0073_Nicotianosemen_minuta	2.58	3.6
CCN6065_second_seed_Capsicum_pliocenicum	2.58	5.33
f_Eophysaloides_inflata	33.9	47.3
f_Lycianthoides_calycina	49.5	51.5
f_Physalis_hunickenii	52	52.44
f_Physalis_infinemundi	52	52.44
H4895_Hyoscyamus_undulatus	0.01	2.58
K453A_Hyoscyamus_datureoides	0.01	2.6
K528_Solanum_miocenicus	5.33	23.03
K530_Solanoides_dorofeevii	27.82	33.9
K587B_Solanum_foveolatum	23.03	27.82
UF6500_Nephrosemen_reticulatus	0.01	5.33
V_40891_Solanispermum_reniforme	0.01	2.58
V_40898_Solanum_arnense	46	48
Alkekengi_officinarum	0	0
Anisodus_tanguticus	0	0
Anthocercis_intricata	0	0
Anthotroche_pannosa	0	0
Archiphysalis_chamaesarachoides	0	0
Athenaea_brasiliana	0	0
Athenaea_cuspidata	0	0
Atropa_belladonna	0	0
Atropanthe_sinensis	0	0
Benthamiella_patagonica	0	0
Bouchetia_anomala	0	0
Brachistus_nelsonii	0	0
Browallia_americana	0	0
Brugmansia_suaveolens	0	0
Brunfelsia_australis	0	0
Calibrachoa_humilis	0	0
Calliphysalis_carpenteri	0	0
Capsicophysalis_potosina	0	0
Capsicum_chacoense	0	0
Cestrum_bracteatum	0	0
Chamaesaracha_arida	0	0
Coeloneurum_ferrugineum	0	0
Combera_paradoxa	0	0
Crenidium_spinescens	0	0
Cuatresia_harlingiana	0	0
Cyphanthera_anthocercidea	0	0
Darcyanthus_spruceanus	0	0
Datura_ferox	0	0
Deprea_pauciflora	0	0
Deprea_abra_patriciae	0	0
Discopodium_penninervium	0	0
Duboisia_myoporoides	0	0
Duckeodendron_cestroides	0	0
Dunalia_brachyacantha	0	0
Dyssochroma_viridiflorum	0	0
Eriolarynx_australis	0	0
Espadaea_amoena	0	0
Exodeconus_miersii	0	0
Fabiana_imbricata	0	0
Goetzea_elegans	0	0
Grammosolen_dixonii	0	0
Hawkesiophyton_panamense	0	0
Heteranthia_decipiens	0	0
Hunzikeria_texana	0	0
Hyoscyamus_niger	0	0
Iochroma_cyaneum	0	0
Jaborosa_laciniata	0	0
Jaltomata_bicolor	0	0
Jaltomata_grandiflora	0	0
Juanulloa_mexicana	0	0
Latua_pubiflora	0	0
Leptoglossis_darcyana	0	0
Leucophysalis_grandiflora	0	0
Lycianthes_rantonnetii	0	0
Lycianthes_acapulcensis	0	0
Lycium_americanum	0	0
Mandragora_officinarum	0	0
Markea_coccinea	0	0
Melananthus_guatemalensis	0	0
Mellissia_begoniifolia	0	0
Merinthopodium_neuranthum	0	0
Metternichia_princeps	0	0
Nectouxia_formosa	0	0
Nicandra_physalodes	0	0
Nicotiana_wigandioides	0	0
Nierembergia_linariifolia	0	0
Nolana_divaricata	0	0
Nothocestrum_latifolium	0	0
Oryctes_nevadensis	0	0
Pantacantha_ameghinoi	0	0
Petunia_interior	0	0
Physaliastrum_heterophyllum	0	0
Physalis_peruviana	0	0
Physalis_angulata	0	0
Physochlaina_orientalis	0	0
Plowmania_nyctaginoides	0	0
Protoschwenkia_mandonii	0	0
Przewalskia_tangutica	0	0
Quincula_lobata	0	0
Reyesia_chilensis	0	0
Salpichroa_tristis	0	0
Salpiglossis_sinuata	0	0
Saracha_quitensis	0	0
Schizanthus_grahamii	0	0
Schraderanthus_viscosus	0	0
Schultesianthus_leucanthus	0	0
Schwenckia_americana	0	0
Sclerophylax_spinescens	0	0
Scopolia_carniolica	0	0
Sessea_stipulata	0	0
Solandra_grandiflora	0	0
Solanum_annuum	0	0
Solanum_barbisetum	0	0
Solanum_caripense	0	0
Solanum_corymbosum	0	0
Solanum_crinitum	0	0
Solanum_crispum	0	0
Solanum_evolvulifolium	0	0
Solanum_evolvuloides	0	0
Solanum_herculeum	0	0
Solanum_hieronymi	0	0
Solanum_jamaicense	0	0
Solanum_laciniatum	0	0
Solanum_mahoriense	0	0
Solanum_microdontum	0	0
Solanum_montanum	0	0
Solanum_oedipus	0	0
Solanum_palustre	0	0
Solanum_peruvianum	0	0
Solanum_polygamum	0	0
Solanum_salamancae	0	0
Solanum_sejunctum	0	0
Solanum_sinuatirecurvum	0	0
Solanum_sisymbriifolium	0	0
Solanum_terminale	0	0
Solanum_thelopodium	0	0
Solanum_torvum	0	0
Solanum_trizygum	0	0
Solanum_uncinellum	0	0
Solanum_valdiviense	0	0
Solanum_weddellii	0	0
Solanum_pimpinellifolium	0	0
Solanum_pinnatum	0	0
Streptosolen_jamesonii	0	0
Symonanthus_aromaticus	0	0
Trompettia_cardenasiana	0	0
Trozelia_umbellata	0	0
Tsoala_tubiflora	0	0
Tubocapsicum_anomalum	0	0
Tzeltalia_amphitricha	0	0
Vassobia_breviflora	0	0
Vestia_foetida	0	0
Withania_somnifera	0	0
Witheringia_solanacea	0	0
