Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	cont_mole_scaler	mole_proportional_rates[1]	mole_proportional_rates[2]	mole_proportional_rates[3]	mole_proportional_rates[4]	mole_proportional_rates[5]	mole_proportional_rates[6]	mole_proportional_rates[7]	mole_proportional_rates[8]	mole_proportional_rates[9]	mole_proportional_rates[10]	mole_relative_rates[1]	mole_relative_rates[2]	mole_relative_rates[3]	mole_relative_rates[4]	mole_relative_rates[5]	mole_relative_rates[6]	mole_relative_rates[7]	mole_relative_rates[8]	mole_relative_rates[9]	mole_relative_rates[10]	morph_mole_scaler	morph_site_rate_alpha	morph_site_rates[1]	morph_site_rates[2]	morph_site_rates[3]	morph_site_rates[4]	prop_rates[1]	prop_rates[2]	prop_rates[3]	prop_rates[4]	prop_rates[5]	prop_rates[6]	prop_rates[7]	prop_rates[8]	rel_rates[1]	rel_rates[2]	rel_rates[3]	rel_rates[4]	rel_rates[5]	rel_rates[6]	rel_rates[7]	rel_rates[8]	Tl
0	-95659.43	-95559.2	-100.2254	0.491418	0.310154	0.666563	0.418021	0.788081	0.758981	0.109548	0.810189	0.703089	0.922992	15.80385	0.0846371	0.804989	0.00764576	0.00847842	0.0168888	0.0224151	0.00556253	0.00838431	0.014832	0.0261672	0.846371	8.04989	0.0764576	0.0847842	0.168888	0.224151	0.0556253	0.0838431	0.14832	0.261672	2.075148	0.8501232	0.106171	0.426558	0.969931	2.49734	0.0668189	0.0244318	0.34973	0.0158776	0.169217	0.0933351	0.268409	0.0121803	0.534551	0.195454	2.79784	0.127021	1.35374	0.746681	2.14727	0.0974423	15.26893
1	-95661.38	-95563.56	-97.82323	0.491418	0.311405	0.752774	0.418021	0.788081	0.776719	0.109548	0.810189	0.703089	0.979311	16.18919	0.0847175	0.805754	0.00765303	0.00848647	0.0169397	0.0224364	0.00556781	0.00794319	0.0143298	0.0261722	0.847175	8.05754	0.0765303	0.0848647	0.169397	0.224364	0.0556781	0.0794319	0.143298	0.261722	1.874853	0.8199161	0.0997891	0.41503	0.962324	2.52286	0.0605406	0.024273	0.347457	0.0157744	0.178798	0.0927285	0.266665	0.0137639	0.484325	0.194184	2.77965	0.126195	1.43038	0.741828	2.13332	0.110111	14.99406
2	-95654.39	-95559.82	-94.57195	0.491418	0.322803	0.752774	0.392332	0.788081	0.776719	0.106489	0.810189	0.703089	0.979311	15.37134	0.0816511	0.808714	0.00768114	0.00851765	0.0170019	0.0222006	0.00558827	0.0079949	0.0143825	0.0262684	0.816511	8.08714	0.0768114	0.0851765	0.170019	0.222006	0.0558827	0.079949	0.143825	0.262684	1.874853	1.10339	0.157109	0.505765	1.01522	2.3219	0.0632234	0.0247456	0.354222	0.0150157	0.16237	0.0945341	0.271857	0.0140319	0.505787	0.197965	2.83378	0.120126	1.29896	0.756273	2.17486	0.112255	14.75246
3	-95663.74	-95566.22	-97.51671	0.491418	0.317642	0.752774	0.392332	0.788081	0.776719	0.106489	0.810189	0.703089	1.02517	15.37134	0.0815933	0.808141	0.0076757	0.00851161	0.0166604	0.0232226	0.00558431	0.00798924	0.0143723	0.0262498	0.815933	8.08141	0.076757	0.0851161	0.166604	0.232226	0.0558431	0.0798924	0.143723	0.262498	1.848311	1.028154	0.142537	0.485054	1.00451	2.3679	0.0632234	0.0247456	0.354222	0.0150157	0.16237	0.0945341	0.271857	0.0140319	0.505787	0.197965	2.83378	0.120126	1.29896	0.756273	2.17486	0.112255	15.04552
4	-95663.8	-95567.76	-96.04428	0.509773	0.317642	0.752774	0.392332	0.72169	0.776719	0.091445	0.810189	0.707268	1.02517	15.22015	0.0827403	0.807132	0.00766611	0.00850098	0.0166396	0.0231936	0.00557733	0.00797926	0.0143543	0.026217	0.827403	8.07132	0.0766611	0.0850098	0.166396	0.231936	0.0557733	0.0797926	0.143543	0.26217	1.95722	0.9361726	0.124049	0.456689	0.988563	2.4307	0.062699	0.0245404	0.348701	0.0148912	0.161023	0.09375	0.282163	0.0122322	0.501592	0.196323	2.78961	0.11913	1.28819	0.75	2.2573	0.0978579	14.90839
5	-95667.8	-95572.89	-94.90828	0.509773	0.317642	0.752774	0.392332	0.808051	0.776719	0.0824069	0.810189	0.707268	1.02517	15.97008	0.0827208	0.806942	0.00766431	0.00849898	0.0162797	0.0231882	0.00508875	0.00782333	0.0155836	0.0262108	0.827208	8.06942	0.0766431	0.0849898	0.162797	0.231882	0.0508875	0.0782333	0.155836	0.262108	1.985365	0.9361726	0.124049	0.456689	0.988563	2.4307	0.0619442	0.024245	0.344503	0.0147119	0.159085	0.0926215	0.290805	0.012085	0.495554	0.19396	2.75602	0.117695	1.27268	0.740972	2.32644	0.0966799	14.70925
6	-95666.29	-95572.9	-93.3961	0.509773	0.317642	0.685275	0.392332	0.808051	0.776719	0.0824069	0.561355	0.707268	1.02517	15.97008	0.0828539	0.80824	0.00767665	0.00851266	0.0163059	0.0231618	0.00509694	0.00783593	0.0140628	0.026253	0.828539	8.0824	0.0767665	0.0851266	0.163059	0.231618	0.0509694	0.0783593	0.140628	0.26253	1.84685	0.7991243	0.0953724	0.406781	0.956712	2.54113	0.0632099	0.0216847	0.334166	0.0150125	0.162335	0.0945139	0.296746	0.0123319	0.505679	0.173478	2.67332	0.1201	1.29868	0.756111	2.37397	0.0986553	14.60352
7	-95658.58	-95562	-96.57977	0.509773	0.317642	0.685275	0.392332	0.808051	0.776719	0.0798307	0.561355	0.707268	0.96844	15.97008	0.0827869	0.807587	0.00767044	0.00782641	0.0173897	0.0231431	0.00509282	0.00782959	0.0144424	0.0262318	0.827869	8.07587	0.0767044	0.0782641	0.173897	0.231431	0.0509282	0.0782959	0.144424	0.262318	1.662018	0.7991243	0.0953724	0.406781	0.956712	2.54113	0.0632099	0.0216847	0.334166	0.0150125	0.162335	0.0945139	0.296746	0.0123319	0.505679	0.173478	2.67332	0.1201	1.29868	0.756111	2.37397	0.0986553	14.9463
8	-95670.46	-95574.95	-95.50973	0.509773	0.317642	0.685275	0.340249	0.711946	0.730977	0.0683139	0.561355	0.806167	0.96844	15.97008	0.0823865	0.803681	0.00763334	0.00778856	0.0165461	0.0275536	0.00506819	0.0088656	0.0143725	0.0261049	0.823865	8.03681	0.0763334	0.0778856	0.165461	0.275536	0.0506819	0.088656	0.143725	0.261049	2.045044	0.8183345	0.0994538	0.414412	0.961908	2.52423	0.063301	0.0202745	0.334647	0.0150342	0.162569	0.0946501	0.297174	0.0123497	0.506408	0.162196	2.67718	0.120273	1.30055	0.757201	2.37739	0.0987975	14.81165
9	-95675.58	-95581.85	-93.72114	0.491799	0.299501	0.646295	0.340249	0.711946	0.730977	0.0683139	0.561355	0.806167	0.952208	16.44802	0.0823683	0.803503	0.00763165	0.00778684	0.0167633	0.0275475	0.00506707	0.00886365	0.0143694	0.0260991	0.823683	8.03503	0.0763165	0.0778684	0.167633	0.275475	0.0506707	0.0886365	0.143694	0.260991	1.898248	0.8183345	0.0994538	0.414412	0.961908	2.52423	0.0633278	0.0202831	0.334789	0.0146174	0.162638	0.0946902	0.2973	0.0123549	0.506622	0.162265	2.67831	0.116939	1.3011	0.757521	2.3784	0.0988393	14.60881
